,name,source,skill,language,equipment,tool,feature
14,Hermit,PHB,"medicine, religion.
","Any Standard Language: 1.
","{map or scroll case|phb}. {blanket|phb}. {common clothes|phb}. {herbalism kit|phb}. {'value': 500}. 
-------------
","{@item Herbalism kit}
-------------
","Feature: Discovery
-------------
The quiet seclusion of your extended hermitage gave you access to a unique and powerful discovery. The exact nature of this revelation depends on the nature of your seclusion. It might be a great truth about the cosmos, the deities, the powerful beings of the outer planes, or the forces of nature. It could be a site that no one else has ever seen. You might have uncovered a fact that has long been forgotten, or unearthed some relic of the past that could rewrite history. It might be information that would be damaging to the people who or consigned you to exile, and hence the reason for your return to society.
-------------
Work with your DM to determine the details of your discovery and its impact on the campaign.
-------------
"
15,Inheritor,SCAG,"survival.
Choose from: [arcana,history,religion]","Any Standard Language: 1.
","{Your inheritance}. {traveler's clothes|phb}. {pouch|phb with 15.0gp}. 
-------------
Choose from:
a:{}. 
b:{}. 
-------------
","Your choice of a {@filter gaming set} or a {@filter musical instrument}
-------------
","Feature: Inheritance
-------------
Choose or randomly determine your inheritance from the possibilities in the table below. Work with your Dungeon Master to come up with details: Why is your inheritance so important, and what is its full story? You might prefer for the DM to invent these details as part of the game, allowing you to learn more about your inheritance as your character does.
-------------
The Dungeon Master is free to use your inheritance as a story hook, sending you on quests to learn more about its history or true nature, or confronting you with foes who want to claim it for themselves or prevent you from learning what you seek. The DM also determines the properties of your inheritance and how they figure into the item's history and importance. For instance, the object might be a minor magic item, or one that begins with a modest ability and increases in potency with the passage of time. Or, the true nature of your inheritance might not be apparent at first and is revealed only when certain conditions are met.
-------------
When you begin your adventuring career, you can decide whether to tell your companions about your inheritance right away. Rather than attracting attention to yourself, you might want to keep your inheritance a secret until you learn more about what it means to you and what it can do for you.
-------------
"
16,Investigator,VRGR,"
Choose 2 from: [insight,investigation,perception]",,"{magnifying glass|PHB}. {common clothes|phb}. {Horror Trinket|VRGR}. {'value': 10}. 
-------------
","{@item Disguise kit}, {@item Thieves' tools}
-------------
","Feature: Official Inquiry
-------------
You're experienced at gaining access to people and places to get the information you need. Through a combination of fast-talking, determination, and official-looking documentation, you can gain access to a place or an individual related to a crime you're investigating. Those who aren't involved in your investigation avoid impeding you or pass along your requests. Additionally, local law enforcement has firm opinions about you, viewing you as either a nuisance or one of their own.
-------------
"
17,Knight of the Order,SCAG,"persuasion.
Choose from: [arcana,history,nature,religion]","Any Standard Language: 1.
","{traveler's clothes|phb}. {signet, banner, or seal representing your place or rank in the order}. {pouch|phb with 10.0gp}. 
-------------
","Your choice of a {@filter gaming set} or a {@filter musical instrument}
-------------
","Feature: Knightly Regard
-------------
You receive shelter and succor from members of your knightly order and those who are sympathetic to its aims. If your order is a religious one, you can gain aid from temples and other religious communities of your deity. Knights of civic orders can get help from the community—whether a lone settlement or a great nation—that they serve, and knights of philosophical orders can find help from those they have aided in pursuit of their ideals, and those who share their ideals.
-------------
This help comes in the form of shelter and meals, and healing when appropriate, as well as occasionally risky assistance, such as a band of local citizens rallying to aid a sorely pressed knight, or those who support the order helping to smuggle a knight out of town when he or she is being hunted unjustly.
-------------
"
18,Mercenary Veteran,SCAG,"athletics, persuasion.
",,"{traveler's clothes|phb}. {insignia of your rank}. {'equipmentType': 'setGaming'}. {pouch|phb with 10.0gp}. 
-------------
","One type of {@filter gaming set}, {@filter vehicles (land)}
-------------
","Feature: Mercenary Life
-------------
You know the mercenary life as only someone who has experienced it can. You are able to identify mercenary companies by their emblems, and you know a little about any such company, including who has hired them recently. You can find the taverns and festhalls where mercenaries abide in any area, as long as you speak the language. You can find mercenary work between adventures sufficient to maintain a comfortable lifestyle (see ""{@book Practicing a Profession|PHB|8|Practicing a Profession}"" under ""Downtime Activities"" in chapter 8 of the Player's Handbook).
-------------
"
19,Noble,PHB,"history, persuasion.
","Any Standard Language: 1.
","{fine clothes|phb}. {signet ring|phb}. {scroll of pedigree}. {purse with 25.0gp}. 
-------------
","One type of {@filter gaming set}
-------------
","Feature: Position of Privilege
-------------
Thanks to your noble birth, people are inclined to think the best of you. You are welcome in high society, and people assume you have the right to be wherever you are. The common folk make every effort to accommodate you and avoid your displeasure, and other people of high birth treat you as a member of the same social sphere. You can secure an audience with a local noble if you need to.
-------------
"
20,Outlander,PHB,"athletics, survival.
","Any Standard Language: 1.
","{staff|phb}. {hunting trap|phb}. {trophy from an animal you killed}. {traveler's clothes|phb}. {pouch|phb with 10.0gp}. 
-------------
","One type of {@filter musical instrument}
-------------
","Feature: Wanderer
-------------
You have an excellent memory for maps and geography, and you can always recall the general layout of terrain, settlements, and other features around you. In addition, you can find food and fresh water for yourself and up to five other people each day, provided that the land offers berries, small game, water, and so forth.
-------------
"
21,Sage,PHB,"arcana, history.
","Any Standard Language: 2.
","{ink (1-ounce bottle)|phb}. {quill}. {small knife}. {letter from a dead colleague posing a question you have not yet been able to answer}. {common clothes|phb}. {pouch|phb with 10.0gp}. 
-------------
",,"Feature: Researcher
-------------
When you attempt to learn or recall a piece of lore, if you do not know that information, you often know where and from whom you can obtain it. Usually, this information comes from a library, scriptorium, university, or a sage or other learned person or creature. Your DM might rule that the knowledge you seek is secreted away in an almost inaccessible place, or that it simply cannot be found. Unearthing the deepest secrets of the multiverse can require an adventure or even a whole campaign.
-------------
"
22,Sailor,PHB,"athletics, perception.
",,"{club|phb}. {silk rope (50 feet)|phb}. {trinket|phb}. {common clothes|phb}. {pouch|phb with 10.0gp}. 
-------------
","{@item Navigator's tools}, {@filter vehicles (water)}
-------------
","Feature: Ship's Passage
-------------
When you need to, you can secure free passage on a sailing ship for yourself and your adventuring companions. You might sail on the ship you served on, or another ship you have good relations with (perhaps one captained by a former crewmate). Because you're calling in a favor, you can't be certain of a schedule or route that will meet your every need. Your Dungeon Master will determine how long it takes to get where you need to go. In return for your free passage, you and your companions are expected to assist the crew during the voyage.
-------------
"
23,Soldier,PHB,"athletics, intimidation.
",,"{insignia of rank}. {trophy taken from a fallen enemy (a dagger, broken blade, or piece of a banner)}. {common clothes|phb}. {pouch|phb with 10.0gp}. 
-------------
Choose from:
a:{dice set|phb}. 
b:{playing card set|phb}. 
-------------
","One type of {@filter gaming set}, {@filter vehicles (land)}
-------------
","Feature: Military Rank
-------------
You have a military rank from your career as a soldier. Soldiers loyal to your former military organization still recognize your authority and influence, and they defer to you if they are of a lower rank. You can invoke your rank to exert influence over other soldiers and requisition simple equipment or horses for temporary use. You can also usually gain access to friendly military encampments and fortresses where your rank is recognized.
-------------
"
24,Urban Bounty Hunter,SCAG,"
Choose 2 from: [deception,insight,persuasion,stealth]",,"{pouch|phb with 20.0gp}. 
-------------
","Choose two from among one type of {@filter gaming set}, one {@filter musical instrument}, and {@item thieves' tools}
-------------
","Feature: Ear to the Ground
-------------
You are in frequent contact with people in the segment of society that your chosen quarries move through. These people might be associated with the criminal underworld, the rough-and-tumble folk of the streets, or members of high society. This connection comes in the form of a contact in any city you visit, a person who provides information about the people and places of the local area.
-------------
"
25,Urchin,PHB,"sleight of hand, stealth.
",,"{small knife}. {map of the city you grew up in}. {pet mouse}. {token to remember your parents by}. {common clothes|phb}. {pouch|phb with 10.0gp}. 
-------------
","{@item Disguise kit}, {@item Thieves' tools}
-------------
","Feature: City Secrets
-------------
You know the secret patterns and flow to cities and can find passages through the urban sprawl that others would miss. When you are not in combat, you (and companions you lead) can travel between any two locations in the city twice as fast as your speed would normally allow.
-------------
"
26,Uthgardt Tribe Member,SCAG,"athletics, survival.
","Any Standard Language: 1.
","{hunting trap|phb}. {traveler's clothes|phb}. {pouch|phb with 10.0gp}. 
-------------
Choose from:
a:{totemic token}. 
b:{set of tattoos marking your loyalty to Uthgar and your tribal totem}. 
-------------
","One type of {@filter musical instrument} or {@filter artisan's tools}
-------------
","Feature: Uthgardt Heritage
-------------
You have an excellent knowledge of not only your tribe's territory, but also the terrain and natural resources of the rest of the North. You are familiar enough with any wilderness area that you can find twice as much food and water as you normally would when you forage there.
-------------
Additionally, you can call upon the hospitality of your people, and those allied with your tribe, often including members of the druid circles, tribes of nomadic elves, the Harpers, and the priesthoods devoted to the gods of the First Circle.
-------------
"
27,Variant City Watch (Investigator),SCAG,"insight, investigation.
","Any Standard Language: 2.
","{uniform in the style of your unit and indicative of your rank}. {horn|phb}. {manacles|phb}. {pouch|phb with 10.0gp}. 
-------------
",,"Feature: Watcher's Eye
-------------
Your experience in enforcing the law, and dealing with lawbreakers, gives you a feel for local laws and criminals. You can easily find the local outpost of the watch or a similar organization, and just as easily pick out the dens of criminal activity in a community, although you're more likely to be welcome in the former locations rather than the latter.
-------------
"
28,Variant Guild Artisan (Guild Merchant),PHB,"insight, persuasion.
",,,,
29,Volstrucker Agent,EGW,"deception, stealth.
","Any Standard Language: 1.
","{common clothes|phb}. {black cloak with a hood}. {poisoner's kit|phb}. {pouch|phb with 10.0gp}. 
-------------
","{@item Poisoner's kit}
-------------
","Feature: Shadow Network
-------------
You have access to the Volstrucker shadow network, which allows you to communicate with other members of the order over long distances. If you write a letter in a special arcane ink, address it to a member of the Volstrucker, and cast it into a fire, the letter will burn to cinders and materialize whole again on the person of the agent you addressed it to.
-------------
The ink used to send a letter across the shadow network is the same as that used by a wizard to scribe spells in a spellbook. Writing a letter in this ink costs 10 gp per page.
-------------
"
30,Waterdhavian Noble,SCAG,"history, persuasion.
","Any Standard Language: 1.
","{fine clothes|phb}. {scroll of pedigree}. {skin of fine zzar or wine}. {purse with 20.0gp}. 
-------------
Choose from:
a:{signet ring|phb}. 
b:{brooch}. 
-------------
","One type of {@filter gaming set} or {@filter musical instrument}
-------------
","Feature: Kept in Style
-------------
While you are in Waterdeep or elsewhere in the North, your house sees to your everyday needs. Your name and signet are sufficient to cover most of your expenses; the inns, taverns, and festhalls you frequent are glad to record your debt and send an accounting to your family's estate in Waterdeep to settle what you owe.
-------------
This advantage enables you to live a comfortable lifestyle without having to pay 2 gp a day for it, or reduces the cost of a wealthy or aristocratic lifestyle by that amount. You may not maintain a less affluent lifestyle and use the difference as income—the benefit is a line of credit, not an actual monetary reward.
-------------
"
