name,source,rarity,reqAttune,bonusSpellAttack,bonusSpellSaveDc,description
+2 Moon Sickle,TCE,rare,by a druid or ranger,+2,+2," This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +2 bonus to attack and damage rolls made with it, and you gain a +2 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells. When you cast a spell that restores hit points, you can roll a {@dice d4} and add the number rolled to the amount of hit points restored, provided you are holding the sickle. "
+2 Rhythm-Maker's Drum,TCE,rare,by a bard,+2,+2," While holding this {@item drum}, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your bard spells. As an action, you can play the {@item drum} to regain one use of your Bardic Inspiration feature. This property of the {@item drum} can't be used again until the next dawn. "
+2 Rod of the Pact Keeper,DMG,rare,by a warlock,+2,+2," While holding this rod, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your warlock spells. In addition, you can regain one warlock spell slot as an action while holding the rod. You can't use this property again until you finish a long rest. "
+2 Wand of the War Mage,DMG,rare,by a spellcaster,+2,," While you are holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you ignore half cover when making a spell attack. "
+3 All-Purpose Tool,TCE,very rare,by an artificer,+3,+3," This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the {@book Player's Handbook} for a list of {@item artisan's tools}). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a +3 bonus to the spell attack rolls and the saving throw DCs of your artificer spells. As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn. "
+3 Amulet of the Devout,TCE,very rare,by a cleric or paladin,+3,+3," This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +3 bonus to spell attack rolls and the saving throw DCs of your spells. While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn. "
+3 Arcane Grimoire,TCE,very rare,by a wizard,+3,+3," While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your wizard spells. You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1. "
+3 Bloodwell Vial,TCE,very rare,by a sorcerer,+3,+3," To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your sorcerer spells. In addition, when you roll any Hit Dice to recover hit points while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn. "
+3 Dragonhide Belt,FTD,very rare,by a monk,,," This finely detailed belt is made of dragonhide. While wearing it, you gain a +3 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn. "
+3 Moon Sickle,TCE,very rare,by a druid or ranger,+3,+3," This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +3 bonus to attack and damage rolls made with it, and you gain a +3 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells. When you cast a spell that restores hit points, you can roll a {@dice d4} and add the number rolled to the amount of hit points restored, provided you are holding the sickle. "
+3 Rhythm-Maker's Drum,TCE,very rare,by a bard,+3,+3," While holding this {@item drum}, you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your bard spells. As an action, you can play the {@item drum} to regain one use of your Bardic Inspiration feature. This property of the {@item drum} can't be used again until the next dawn. "
+3 Rod of the Pact Keeper,DMG,very rare,by a warlock,+3,+3," While holding this rod, you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your warlock spells. In addition, you can regain one warlock spell slot as an action while holding the rod. You can't use this property again until you finish a long rest. "
+3 Wand of the War Mage,DMG,very rare,by a spellcaster,+3,," While you are holding this wand, you gain a +3 bonus to spell attack rolls. In addition, you ignore half cover when making a spell attack. "
Acid (vial),PHB,none,False,,," As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes {@damage 2d6} acid damage. "
Acid Absorbing Tattoo,TCE,very rare,by all race,,, {#itemEntry Absorbing Tattoo} 
Alchemical Compendium,TCE,rare,by a wizard,,," Acrid odors cling to this stained, heavy volume. The book's metal fittings are copper, iron, lead, silver, and gold, some frozen mid-transition from one metal to another. When found, the book contains the following spells: {@spell enlarge/reduce}, {@spell feather fall}, {@spell flesh to stone}, {@spell gaseous form}, {@spell magic weapon}, and {@spell polymorph}. It functions as a spellbook for you. While you are holding the book, you can use it as a spellcasting focus for your wizard spells. The book has 3 charges, and it regains {@dice 1d3} expended charges daily at dawn. You can use the charges in the following ways while holding it: "
Alchemist's Fire (flask),PHB,none,False,,," This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes {@damage 1d4} fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames. "
Alchemy Jug,DMG,uncommon,False,,," This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty. You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named. Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn. "
Alexandrite,DMG,none,False,,, A transparent dark green gemstone. 
Amber,DMG,none,False,,, A transparent watery gold to rich gold gemstone. 
Amethyst,DMG,none,False,,, A transparent deep purple gemstone. 
Flight,FTD,very rare,by all race,,,"['As a bonus action, you can expend 1 charge to gain the power of flight for 10 minutes. For the duration, you gain a flying speed equal to your walking speed, and you can hover.'] "
Gravitational Thrust,FTD,very rare,by all race,,,"['As an action, you can expend 1 charge to focus gravity around a creature you can see within 60 feet of you. The target must succeed on a DC 18 Strength saving throw or be pushed up to 20 feet in a direction of your choice.'] "
Reverse Gravity,FTD,very rare,by all race,,,"['As an action, you can expend 3 charges to cast {@spell reverse gravity} from the stone (save DC 18).'] "
Amethyst Lodestone,FTD,very rare,by all race,,," This fist-sized chunk of amethyst is infused with an amethyst dragon's ability to bend gravitational forces. While you are carrying the lodestone, you have advantage on Strength saving throws. The lodestone has 6 charges for the following properties, which you can use while you are holding the stone. The stone regains {@dice 1d6} expended charges daily at dawn. "
Amulet of Health,DMG,rare,by all race,,, Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution score is already 19 or higher without it. 
Amulet of Proof against Detection and Location,DMG,uncommon,by all race,,," While wearing this amulet, you are hidden from {@filter divination} magic. You can't be targeted by such magic or perceived through magical scrying sensors. "
Amulet of the Drunkard,EGW,uncommon,False,,," This amulet smells of old, ale-stained wood. While wearing it, you can regain {@dice 4d4 + 4} hit points when you drink a pint of beer, ale, mead, or wine. Once the amulet has restored hit points, it can't do so again until the next dawn. "
Amulet of the Planes,DMG,very rare,by all race,,," While wearing this amulet, you can use an action to name a location that you are familiar with on another plane of existence. Then make a DC 15 Intelligence check. On a successful check, you cast the {@spell plane shift} spell. On a failure, you and each creature and object within 15 feet of you travel to a random destination. Roll a {@dice d100}. On a 1-60, you travel to a random location on the plane you named. On a 61-100, you travel to a randomly determined plane of existence. "
Animated Shield,DMG,very rare,by all race,,," While holding this shield, you can speak its command word as a bonus action to cause it to animate. The shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The shield remains animated for 1 minute, until you use a bonus action to end this effect, or until you are {@condition incapacitated} or die, at which point the shield falls to the ground or into your hand if you have one free. "
Antitoxin (vial),PHB,none,False,,, A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs. 
Apparatus of Kwalish,DMG,legendary,False,,," This item first appears to be a Large sealed iron barrel weighing 500 pounds. The barrel has a hidden catch, which can be found with a successful DC 20 Intelligence ({@skill Investigation}) check. Releasing the catch unlocks a hatch at one end of the barrel, allowing two Medium or smaller creatures to crawl inside. Ten levers are set in a row at the far end, each in a neutral position, able to move either up or down. When certain levers are used, the apparatus transforms to resemble a giant lobster. The apparatus of Kwalish is a Large object with the following statistics: To be used as a vehicle, the apparatus requires one pilot. While the apparatus's hatch is closed, the compartment is airtight and watertight. The compartment holds enough air for 10 hours of breathing, divided by the number of breathing creatures inside. The apparatus floats on water. It can also go underwater to a depth of 900 feet. Below that, the vehicle takes {@damage 2d6} bludgeoning damage per minute from pressure. A creature in the compartment can use an action to move as many as two of the apparatus's levers up or down. After each use, a lever goes back to its neutral position. Each lever, from left to right, functions as shown in the Apparatus of Kwalish Levers table. "
Aquamarine,DMG,none,False,,, A transparent pale blue-green gemstone. 
Acid Jet,EGW,very rare,False,,,"['The cannon discharges acid in a line 300 feet long and 5 feet wide. Each creature in that line must make a DC 15 Dexterity saving throw, taking 22 ({@damage 4d10}) acid damage on a failed save, or half as much damage on a successful one. In addition, a creature that fails its saving throw takes 11 ({@damage 2d10}) acid damage at the start of each of its turns; a creature can end this damage by using its action to wash off the acid with a pint or more of water.'] "
Fire Jet,EGW,very rare,False,,,"[""The cannon discharges fire in a line 300 feet long and 5 feet wide. Each creature in the area must make a DC 15 Dexterity saving throw, taking 33 ({@damage 6d10}) fire damage on a failed save, or half as much damage on a successful one. The fire ignites any flammable objects in the area that aren't being worn or carried.""] "
Frost Shot,EGW,very rare,False,,,"[""The cannon shoots a ball of frost to a point you can see within 1,200 feet of the cannon. The ball then expands to form a 30-foot-radius sphere centered on that point. Each creature in that area must make a DC 15 Constitution saving throw. On a failed save, a creature takes 22 ({@damage 4d10}) cold damage, and its speed is reduced by 10 feet for 1 minute. On a successful save, the creature takes half as much damage, and its speed isn't reduced. A creature whose speed is reduced by this effect can repeat the save at the end of each of its turns, ending the effect on itself on a success.""] "
Lightning Shot,EGW,very rare,False,,,"['The cannon shoots a ball of lightning to a point you can see within 1,200 feet of the cannon. The lightning then expands to form a 20-foot-radius sphere centered on that point. Each creature in that area must make a DC 15 Dexterity saving throw, taking 33 ({@damage 6d10}) lightning damage on a failed save, or half as much damage on a successful one. Creatures wearing metal armor have disadvantage on the save.'] "
Poison Spray,EGW,very rare,False,,,"[""The cannon expels poison gas in a 60-foot cone. Each creature in that area must make a DC 15 Constitution saving throw. On a failed save, the creature takes 22 ({@damage 4d10}) poison damage and is {@condition poisoned} for 1 minute. On a successful save, the creature takes half as much damage and isn't {@condition poisoned}. A creature {@condition poisoned} in this way can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.""] "
Arcane Cannon,EGW,very rare,False,,," This Large cannon is imbued with magic. It requires no ammunition and doesn't need to be loaded. It takes one action to aim the cannon and one action to fire it. After the cannon has fired, it must recharge for 5 minutes before it can be fired again. The creature firing the cannon chooses the effect from the following options: "
Armor of Invulnerability,DMG,legendary,by all race,,," You have resistance to nonmagical damage while you wear this armor. Additionally, you can use an action to make yourself immune to nonmagical damage for 10 minutes or until you are no longer wearing the armor. Once this special action is used, it can't be used again until the next dawn. "
Curse,DMG,rare,by all race,,,"['This armor is cursed, a fact that is revealed only when an {@spell identify} spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by the {@spell remove curse} spell or similar magic; removing the armor fails to end the curse. While cursed you have vulnerability to piercing and slashing damage.'] "
Armor of Vulnerability (Bludgeoning),DMG,rare,by all race,,," While wearing this armor, you have resistance to bludgeoning damage. "
Curse,DMG,rare,by all race,,,"['This armor is cursed, a fact that is revealed only when an {@spell identify} spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by the {@spell remove curse} spell or similar magic; removing the armor fails to end the curse. While cursed you have vulnerability to bludgeoning and slashing damage.'] "
Armor of Vulnerability (Piercing),DMG,rare,by all race,,," While wearing this armor, you have resistance to piercing damage. "
Curse,DMG,rare,by all race,,,"['This armor is cursed, a fact that is revealed only when an {@spell identify} spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by the {@spell remove curse} spell or similar magic; removing the armor fails to end the curse. While cursed you have vulnerability to bludgeoning and piercing damage.'] "
Armor of Vulnerability (Slashing),DMG,rare,by all race,,," While wearing this armor, you have resistance to slashing damage. "
Arrow-Catching Shield,DMG,rare,by all race,,," You gain a +2 bonus to AC against ranged attacks while you wield this shield. This bonus is in addition to the shield's normal bonus to AC. In addition, whenever an attacker makes a ranged attack against a target within 5 feet of you, you can use your reaction to become the target of the attack instead. "
Ascendant Dragon Vessel,FTD,legendary,False,,," This vessel can be a potion bottle, drinking horn, or other container meant to hold a liquid. As a bonus action, if the vessel is empty, you can speak the command word to fill the vessel with one of the following (your choice): ale, olive oil, mead, wine, whiskey, a {@item potion of healing}, a {@item potion of greater healing}, a {@item potion of superior healing}, a {@item potion of supreme healing}, a {@item potion of climbing}, a {@item potion of fire breath}, a {@item potion of flying}, or a {@item potion of dragon's majesty}. Once this property is used, it can't be used until the next dawn. A potion you create in this way loses its magical properties if it isn't imbibed within 24 hours. "
Ascendant Dragon-Touched Focus,FTD,legendary,False,,," This wondrous item can be a scepter, an orb, an amulet, a crystal, or another finely crafted object. It typically incorporates imagery of dragons' wings, claws, teeth, or scales. You have advantage on initiative rolls. While you are holding the focus, it can function as a spellcasting focus for all your spells. The focus gains an additional property determined by the family of the dragon in whose hoard it became Stirring: While you are holding a Wakened focus, you can use it to cast certain spells. Once the item is used to cast a given spell, it can't be used to cast that spell again until the next dawn. The spells are determined by the family of the dragon in whose hoard it became Wakened. When you cast a spell of 1st level or higher while holding this focus, you can treat the spell as if it were cast using a 9th-level spell slot. Once this property is used, it can't be used again until the next dawn. "
Ascendant Scaled Ornament,FTD,legendary,False,,," This ornament can be jewelry, a cloak, or another wearable accessory. It appears to be fashioned from a dragon's scale, tooth, or claw, or it incorporates images in those shapes. You gain a +1 bonus to AC, and you can't be {@condition charmed} or {@condition frightened}. Moreover, each creature of your choice within 30 feet of you has advantage on saving throws it makes to avoid being {@condition charmed} or {@condition frightened} or to end those conditions on itself. When you would take damage of the type dealt by the breath of the dragon in whose hoard the ornament became Wakened, you can use your reaction to take no damage instead, and you regain hit points equal to the damage you would have taken. Once this property is used, it can't be used again until the next dawn. While you are wearing the ornament, you gain a flying speed equal to your walking speed and can hover. While you are flying using this speed, spectral dragon wings appear on your back. "
Assassin's Blood,DMG,none,False,,," A creature subjected to this poison must make a DC 10 Constitution saving throw. On a failed save, it takes 6 ({@damage 1d12}) poison damage and is {@condition poisoned} for 24 hours. On a successful save, the creature takes half damage and isn't {@condition poisoned}. "
Astral Shard,TCE,rare,by a sorcerer,,," This crystal is a solidified shard of the Astral Plane, swirling with silver mist. As an action, you can attach the shard to a Tiny object (such as a weapon or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it. When you use a Metamagic option on a spell while you are holding or wearing the shard, immediately after casting the spell you can teleport to an unoccupied space you can see within 30 feet of you. "
Astromancy Archive,TCE,rare,by a wizard,,," This brass disc of articulated, concentric rings unfolds into an armillary sphere. As a bonus action, you can unfold it into the sphere or back into a disc. When found, it contains the following spells, which are wizard spells for you while you are attuned to it: {@spell augury}, {@spell divination}, {@spell find the path}, {@spell foresight}, {@spell locate creature}, and {@spell locate object}. It functions as a spellbook for you, with spells encoded on the rings. While you are holding the archive, you can use it as a spellcasting focus for your wizard spells. The archive has 3 charges, and it regains {@dice 1d3} expended charges daily at dawn. You can use the charges in the following ways while holding it: "
Atlas of Endless Horizons,TCE,rare,by a wizard,,," This thick book is bound in dark leather, crisscrossed with inlaid silver lines suggesting a map or chart. When found, the book contains the following spells, which are wizard spells for you while you are attuned to the book: {@spell arcane gate}, {@spell dimension door}, {@spell gate}, {@spell misty step}, {@spell plane shift}, {@spell teleportation circle}, and {@spell word of recall}. It functions as a spellbook for you. While you are holding the book, you can use it as a spellcasting focus for your wizard spells. The book has 3 charges, and it regains {@dice 1d3} expended charges daily at dawn. You can use the charges in the following ways while holding it: "
Magic Weapon,DMG,artifact,by all race,,,"['The {@italic Axe of the Dwarvish Lords} is a magic weapon that grants a +3 bonus to attack and damage rolls made with it. The axe also functions as a {@item belt of dwarvenkind}, a {@item dwarven thrower}, and a {@item sword of sharpness}.'] "
Random Properties,DMG,artifact,by all race,,,"['The axe has the following randomly determined properties:', {'type': 'list', 'items': ['2 {@table Artifact Properties; Minor Beneficial Properties}', '1 {@table Artifact Properties; Major Beneficial Properties}', '2 {@table Artifact Properties; Minor Detrimental Properties}']}] "
Blessings of Moradin,DMG,artifact,by all race,,,"['If you are a dwarf attuned to the axe, you gain the following benefits:', {'type': 'list', 'items': ['You have immunity to poison damage.', 'The range of your {@sense darkvision} increases by 60 feet.', ""You gain proficiency with {@item artisan's tools} related to blacksmithing, brewing, and stonemasonry.""]}] "
Conjure Earth Elemental,DMG,artifact,by all race,,,"[""If you are holding the axe, you can use your action to cast the {@spell conjure elemental} spell from it, summoning an {@creature earth elemental}. You can't use this property again until the next dawn.""] "
Travel the Depths,DMG,artifact,by all race,,,"[""You can use an action to touch the axe to a fixed piece of dwarven stonework and cast the {@spell teleport} spell from the axe. If your intended destination is underground, there is no chance of a mishap or arriving somewhere unexpected. You can't use this property again until 3 days have passed.""] "
Curse,DMG,artifact,by all race,,,"[""The axe bears a curse that affects any non-dwarf that becomes attuned to it. Even if the attunement ends, the curse remains. With each passing day, the creature's physical appearance and stature become more dwarflike. After seven days, the creature looks like a typical dwarf, but the creature neither loses its racial traits nor gains the racial traits of a dwarf. The physical changes wrought by the axe aren't considered magical in nature (and therefore can't be dispelled), but they can be undone by any effect that removes a curse, such as a {@spell greater restoration} or {@spell remove curse} spell.""] "
Destroying the Axe,DMG,artifact,by all race,,,"['The only way to destroy the axe is to melt it down in the {@italic Earthheart Forge}, where it was created. It must remain in the burning forge for fifty years before it finally succumbs to the fire and is consumed.'] "
Axe of the Dwarvish Lords,DMG,artifact,by all race,,," Seeing the peril his people faced, a young dwarf prince came to believe that his people needed something to unite them. Thus, he set out to forge a weapon that would be such a symbol. Venturing deep under the mountains, deeper than any dwarf had ever delved, the young prince came to the blazing heart of a great volcano. With the aid of Moradin, the dwarven god of creation, he first crafted four great tools: the {@italic Brutal Pick}, the {@italic Earthheart Forge}, the {@italic Anvil of Songs}, and the {@italic Shaping Hammer}. With them, he forged the {@italic Axe of the Dwarvish Lords}. Armed with the artifact, the prince returned to the dwarf clans and brought peace. His axe ended grudges and answered slights. The clans became allies, and they threw back their enemies and enjoyed an era of prosperity. This young dwarf is remembered as the First King. When he became old, he passed the weapon, which had become his badge of office, to his heir. The rightful inheritors passed the axe on for many generations. Later, in a dark era marked by treachery and wickedness, the axe was lost in a bloody civil war fomented by greed for its power and the status it bestowed. Centuries later, the dwarves still search for the axe, and many adventurers have made careers of chasing after rumors and plundering old vaults to find it. "
Azurite,DMG,none,False,,, An opaque mottled deep blue gemstone. 
Random Properties,TCE,artifact,by all race,,,"['This artifact has the following random properties, which you can determine by rolling on the tables in the ""Artifacts"" section of the {@book Dungeon Master\'s Guide}:', {'type': 'list', 'items': ['2 {@table Artifact Properties; Minor Beneficial Properties} properties', '1 {@table Artifact Properties; Major Beneficial Properties} property', '1 {@table Artifact Properties; Minor Detrimental Properties} property']}] "
Properties of the Mortar,TCE,artifact,by all race,,,"[""The mortar is a Tiny wooden bowl. However, the mortar increases in size to accommodate anything you place inside, expanding-if there's enough space-up to Large size, meaning it can hold even a Large creature.""] "
Properties of the Pestle,TCE,artifact,by all race,,,"['The pestle is a 6-inch-long, worn wooden tool. Once during your turn while you are holding the pestle, you can extend it into a quarterstaff or shrink it back into a pestle (no action required). As a quarterstaff, the pestle is a magic weapon that grants a +3 bonus to attack and damage rolls made with it.', 'The pestle has 12 charges. When you hit with a melee attack using the pestle, you can expend up to 3 of its charges to deal an extra {@damage 1d8} force damage for each charge expended. The pestle regains all expended charges daily at dawn.'] "
Perfect Tools,TCE,artifact,by all race,,,"[""While holding the mortar and pestle, you can use your action to say the name of any nonmagical plant, mineral, or fluid and an amount of the material worth 10 gp or less. The mortar instantly fills with the desired amount of that material. Once you use this action, you can't do so again until you finish a short or long rest."", ""You can also use the artifact as {@item alchemist's supplies}, {@item brewer's supplies}, {@item cook's utensils}, an {@item herbalism kit}, and a {@item poisoner's kit}. You have advantage on any check you make using the artifact as one of these tools.""] "
Primal Parts,TCE,artifact,by all race,,,"[""As an action while the pestle and the mortar is within 5 feet of you, you can command the pestle to grind. For the next minute, or until you use your action to verbally command it to stop, the pestle moves on its own, grinding the contents of the mortar into a mush or fine powder that's equally useful for cooking or alchemy. At the start of each of your turns, whatever is in the mortar takes {@damage 4d10} force damage. If this reduces the target's hit points to 0, the target is reduced to powder, pulp, or paste, as appropriate. Only magic items are unaffected. If you wish, when the pestle stops, you can have the mortar separate its contents-like powdered bone, crushed herbs, pulped organs-into separate piles.""] "
Traverse the Night,TCE,artifact,by all race,,,"['If you are holding the pestle while you are inside the mortar, you can use your action to verbally command the mortar to travel to a specific place or creature.', ""You don't need to know where your destination is, but it must be a specific destination-not just the nearest river or a red dragon's lair. If the stated destination is within 1,000 miles of you, the mortar lifts into the air and vanishes. You and any creatures in the mortar travel through a dreamlike sky, with hazy reflections of the world passing by below. Creatures might see images of you streaking through the sky between your point of origin and the destination. You arrive at the location 1 hour later or, if it is night, 1 minute later.""] "
Bones Know Their Home,TCE,artifact,by all race,,,"['When you command the mortar to travel, you can instead throw out the dust or paste of something ground by the mortar and name a location on a different plane of existence or a different world on the Material Plane. If that material came from a creature native to the named plane or world, the mortar travels through an empty night sky to an unoccupied space at that destination, arriving in 1 minute.'] "
Destroying the Mortar and Pestle,TCE,artifact,by all race,,,['The mortar and pestle are destroyed if they are crushed underfoot by the {@i Dancing Hut of Baba Yaga} or by Baba Yaga herself.'] 
Baba Yaga's Mortar and Pestle,TCE,artifact,by all race,,," The creations of the immortal hag Baba Yaga defy the laws of mortal magic. Among the notorious implements that cement her legend on countless worlds are the artifacts that propel her through the planes: Baba Yaga's Mortar and Pestle. These signature tools of Baba Yaga are a single artifact for purposes of attunement. Should the two objects become separated, the pestle appears next to the mortar at the next dawn. "
