className,subclassShortName,source,level,name,description
Paladin,Oathbreaker,DMG,20,Dread Lord,"At 20th level, the paladin can, as an action, surround himself or herself with an aura of gloom that lasts for 1 minute. The aura reduces any bright light in a 30-foot radius around the paladin to dim light. Whenever an enemy that is {@condition frightened} by the paladin starts its turn in the aura, it takes {@damage 4d10} psychic damage. Additionally, the paladin and creatures he or she chooses in the aura are draped in deeper shadow. Creatures that rely on sight have disadvantage on attack rolls against creatures draped in this shadow.
-------------
While the aura lasts, the paladin can use a bonus action on his or her turn to cause the shadows in the aura to attack one creature. The paladin makes a melee spell attack against the target. If the attack hits, the target takes necrotic damage equal to {@dice 3d10} + the paladin's Charisma modifier.
-------------
After activating the aura, the paladin can't do so again until he or she finishes a long rest.
-------------
 "
Paladin,Ancients,PHB,3,Oath of the Ancients,"The Oath of the Ancients is as old as the race of elves and the rituals of the druids. Sometimes called fey knights, green knights, or horned knights, paladins who swear this oath cast their lot with the side of the light in the cosmic struggle against darkness because they love the beautiful and life-giving things of the world, not necessarily because they believe in principles of honor, courage, and justice. They adorn their armor and clothing with images of growing things__eaves, antlers, or flowers__o reflect their commitment to preserving life and light in the world.
-------------
 "
Paladin,Ancients,PHB,3,Channel Divinity: Nature's Wrath,"You can use your Channel Divinity to invoke primeval forces to ensnare a foe. As an action, you can cause spectral vines to spring up and reach for a creature within 10 feet of you that you can see. The creature must succeed on a Strength or Dexterity saving throw (its choice) or be {@condition restrained}. While {@condition restrained} by the vines, the creature repeats the saving throw at the end of each of its turns. On a success, it frees itself and the vines vanish.
-------------
 "
Paladin,Ancients,PHB,3,Channel Divinity: Turn the Faithless,"You can use your Channel Divinity to utter ancient words that are painful for fey and fiends to hear. As an action, you present your holy symbol, and each fey or fiend within 30 feet of you that can hear you must make a Wisdom saving throw. On a failed save, the creature is turned for 1 minute or until it takes damage.
-------------
A turned creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the {@action Dash} action or try to escape from an effect that prevents it from moving. If there's nowhere to move, the creature can use the {@action Dodge} action.
-------------
If the creature's true form is concealed by an illusion, shapeshifting, or other effect, that form is revealed while it is turned.
-------------
 "
Paladin,Ancients,PHB,3,Oath Spells,"You gain oath spells at the paladin levels listed.
-------------
 "
Paladin,Ancients,PHB,3,Oath of the Ancients Spells,"[['Paladin Level', 'Spells'], ['3rd', '{@spell ensnaring strike}, {@spell speak with animals}'], ['5th', '{@spell moonbeam}, {@spell misty step}'], ['9th', '{@spell plant growth}, {@spell protection from energy}'], ['13th', '{@spell ice storm}, {@spell stoneskin}'], ['17th', '{@spell commune with nature}, {@spell tree stride}']] "
Paladin,Ancients,PHB,3,Kindle the Light,"Through your acts of mercy, kindness, and forgiveness, kindle the light of hope in the world, beating back despair.
-------------
 "
Paladin,Ancients,PHB,3,Shelter the Light,"Where there is good, beauty, love, and laughter in the world, stand against the wickedness that would swallow it. Where life flourishes, stand against the forces that would render it barren.
-------------
 "
Paladin,Ancients,PHB,3,Preserve Your Own Light,"Delight in song and laughter, in beauty and art. If you allow the light to die in your own heart, you can't preserve it in the world.
-------------
 "
Paladin,Ancients,PHB,3,Be the Light,"Be a glorious beacon for all who live in despair. Let the light of your joy and courage shine forth in all your deeds.
-------------
 "
Paladin,Ancients,PHB,3,Tenets of the Ancients,"The tenets of the Oath of the Ancients have been preserved for uncounted centuries. This oath emphasizes the principles of good above any concerns of law or chaos. Its four central principles are simple.
-------------
 "
Paladin,Ancients,PHB,7,Aura of Warding,"Beginning at 7th level, ancient magic lies so heavily upon you that it forms an eldritch ward. You and friendly creatures within 10 feet of you have resistance to damage from spells.
-------------
At 18th level, the range of this aura increases to 30 feet.
-------------
 "
Paladin,Ancients,PHB,15,Undying Sentinel,"Starting at 15th level, when you are reduced to 0 hit points and are not killed outright, you can choose to drop to 1 hit point instead. Once you use this ability, you can't use it again until you finish a long rest.
-------------
Additionally, you suffer none of the drawbacks of old age, and you can't be aged magically.
-------------
 "
Paladin,Ancients,PHB,20,Elder Champion,"At 20th level, you can assume the form of an ancient force of nature, taking on an appearance you choose. For example, your skin might turn green or take on a bark-like texture, your hair might become leafy or mosslike, or you might sprout antlers or a lion-like mane.
-------------
Using your action, you undergo a transformation. For 1 minute, you gain the following benefits:
-------------
Once you use this feature, you can't use it again until you finish a long rest.
-------------
 "
Paladin,Ancients,PHB,20,Elder Champion,"At the start of each of your turns, you regain 10 hit points.
-------------
Whenever you cast a paladin spell that has a casting time of 1 action, you can cast it using your bonus action instead.
-------------
Enemy creatures within 10 feet of you have disadvantage on saving throws against your paladin spells and Channel Divinity options.
-------------
 "
Paladin,Devotion,PHB,3,Oath of Devotion,"The Oath of Devotion binds a paladin to the loftiest ideals of justice, virtue, and order. Sometimes called cavaliers, white knights, or holy warriors, these paladins meet the ideal of the knight in shining armor, acting with honor in pursuit of justice and the greater good. They hold themselves to the highest standards of conduct, and some, for better or worse, hold the rest of the world to the same standards. Many who swear this oath are devoted to gods of law and good and use their gods' tenets as the measure of their devotion. They hold angels__he perfect servants of good__s their ideals, and incorporate images of angelic wings into their helmets or coats of arms.
-------------
 "
Paladin,Devotion,PHB,3,Channel Divinity: Sacred Weapon,"As an action, you can imbue one weapon that you are holding with positive energy, using your Channel Divinity. For 1 minute, you add your Charisma modifier to attack rolls made with that weapon (with a minimum bonus of +1). The weapon also emits bright light in a 20-foot radius and dim light 20 feet beyond that. If the weapon is not already magical, it becomes magical for the duration.
-------------
You can end this effect on your turn as part of any other action. If you are no longer holding or carrying this weapon, or if you fall {@condition unconscious}, this effect ends.
-------------
 "
Paladin,Devotion,PHB,3,Channel Divinity: Turn the Unholy,"As an action, you present your holy symbol and speak a prayer censuring fiends and undead, using your Channel Divinity. Each fiend or undead that can see or hear you within 30 feet of you must make a Wisdom saving throw. If the creature fails its saving throw, it is turned for 1 minute or until it takes damage.
-------------
A turned creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the {@action Dash} action or try to escape from an effect that prevents it from moving. If there's nowhere to move, the creature can use the {@action Dodge} action.
-------------
 "
Paladin,Devotion,PHB,3,Oath Spells,"You gain oath spells at the paladin levels listed.
-------------
 "
Paladin,Devotion,PHB,3,Oath of Devotion Spells,"[['Paladin Level', 'Spells'], ['3rd', '{@spell protection from evil and good}, {@spell sanctuary}'], ['5th', '{@spell lesser restoration}, {@spell zone of truth}'], ['9th', '{@spell beacon of hope}, {@spell dispel magic}'], ['13th', '{@spell freedom of movement}, {@spell guardian of faith}'], ['17th', '{@spell commune}, {@spell flame strike}']] "
Paladin,Devotion,PHB,3,Honesty,"Don't lie or cheat. Let your word be your promise.
-------------
 "
Paladin,Devotion,PHB,3,Courage,"Never fear to act, though caution is wise.
-------------
 "
Paladin,Devotion,PHB,3,Compassion,"Aid others, protect the weak, and punish those who threaten them. Show mercy to your foes, but temper it with wisdom.
-------------
 "
Paladin,Devotion,PHB,3,Honor,"Treat others with fairness, and let your honorable deeds be an example to them. Do as much good as possible while causing the least amount of harm.
-------------
 "
Paladin,Devotion,PHB,3,Duty,"Be responsible for your actions and their consequences, protect those entrusted to your care, and obey those who have just authority over you.
-------------
 "
Paladin,Devotion,PHB,3,Tenets of Devotion,"Though the exact words and strictures of the Oath of Devotion vary, paladins of this oath share these tenets.
-------------
 "
Paladin,Devotion,PHB,7,Aura of Devotion,"Starting at 7th level, you and friendly creatures within 10 feet of you can't be {@condition charmed} while you are conscious.
-------------
At 18th level, the range of this aura increases to 30 feet.
-------------
 "
Paladin,Devotion,PHB,15,Purity of Spirit,"Beginning at 15th level, you are always under the effects of a {@spell protection from evil and good} spell.
-------------
 "
Paladin,Devotion,PHB,20,Holy Nimbus,"At 20th level, as an action, you can emanate an aura of sunlight. For 1 minute, bright light shines from you in a 30-foot radius, and dim light shines 30 feet beyond that.
-------------
Whenever an enemy creature starts its turn in the bright light, the creature takes 10 radiant damage.
-------------
In addition, for the duration, you have advantage on saving throws against spells cast by fiends or undead.
-------------
Once you use this feature, you can't use it again until you finish a long rest.
-------------
 "
Paladin,Vengeance,PHB,3,Oath of Vengeance,"The Oath of Vengeance is a solemn commitment to punish those who have committed a grievous sin. When evil forces slaughter helpless villagers, when an entire people turns against the will of the gods, when a thieves' guild grows too violent and powerful, when a dragon rampages through the countryside__t times like these, paladins arise and swear an Oath of Vengeance to set right that which has gone wrong. To these paladins__ometimes called avengers or dark knights__heir own purity is not as important as delivering justice.
-------------
 "
Paladin,Vengeance,PHB,3,Channel Divinity: Abjure Enemy,"As an action, you present your holy symbol and speak a prayer of denunciation, using your Channel Divinity. Choose one creature within 60 feet of you that you can see. That creature must make a Wisdom saving throw, unless it is immune to being {@condition frightened}. Fiends and undead have disadvantage on this saving throw.
-------------
On a failed save, the creature is {@condition frightened} for 1 minute or until it takes any damage. While {@condition frightened}, the creature's speed is 0, and it can't benefit from any bonus to its speed.
-------------
On a successful save, the creature's speed is halved for 1 minute or until the creature takes any damage.
-------------
 "
Paladin,Vengeance,PHB,3,Channel Divinity: Vow of Enmity,"As a bonus action, you can utter a vow of enmity against a creature you can see within 10 feet of you, using your Channel Divinity. You gain advantage on attack rolls against the creature for 1 minute or until it drops to 0 hit points or falls {@condition unconscious}.
-------------
 "
Paladin,Vengeance,PHB,3,Oath Spells,"You gain oath spells at the paladin levels listed.
-------------
 "
Paladin,Vengeance,PHB,3,Oath of Vengeance Spells,"[['Paladin Level', 'Spells'], ['3rd', ""{@spell bane}, {@spell hunter's mark}""], ['5th', '{@spell hold person}, {@spell misty step}'], ['9th', '{@spell haste}, {@spell protection from energy}'], ['13th', '{@spell banishment}, {@spell dimension door}'], ['17th', '{@spell hold monster}, {@spell scrying}']] "
Paladin,Vengeance,PHB,3,Fight the Greater Evil,"Faced with a choice of fighting my sworn foes or combating a lesser evil, I choose the greater evil.
-------------
 "
Paladin,Vengeance,PHB,3,No Mercy for the Wicked,"Ordinary foes might win my mercy, but my sworn enemies do not.
-------------
 "
Paladin,Vengeance,PHB,3,By Any Means Necessary,"My qualms can't get in the way of exterminating my foes.
-------------
 "
Paladin,Vengeance,PHB,3,Restitution,"If my foes wreak ruin on the world, it is because I failed to stop them. I must help those harmed by their misdeeds.
-------------
 "
Paladin,Vengeance,PHB,3,Tenets of Vengeance,"The tenets of the Oath of Vengeance vary by paladin, but all the tenets revolve around punishing wrongdoers by any means necessary. Paladins who uphold these tenets are willing to sacrifice even their own righteousness to mete out justice upon those who do evil, so the paladins are often neutral or lawful neutral in alignment. The core principles of the tenets are brutally simple.
-------------
 "
Paladin,Vengeance,PHB,7,Relentless Avenger,"By 7th level, your supernatural focus helps you close off a foe's retreat. When you hit a creature with an opportunity attack, you can move up to half your speed immediately after the attack and as part of the same reaction. This movement doesn't provoke opportunity attacks.
-------------
 "
Paladin,Vengeance,PHB,15,Soul of Vengeance,"Starting at 15th level, the authority with which you speak your Vow of Enmity gives you greater power over your foe. When a creature under the effect of your Vow of Enmity makes an attack, you can use your reaction to make a melee weapon attack against that creature if it is within range.
-------------
 "
Paladin,Vengeance,PHB,20,Avenging Angel,"At 20th level, you can assume the form of an angelic avenger. Using your action, you undergo a transformation. For 1 hour, you gain the following benefits:
-------------
Once you use this feature, you can't use it again until you finish a long rest.
-------------
 "
Paladin,Vengeance,PHB,20,Avenging Angel,"Wings sprout from your back and grant you a flying speed of 60 feet.
-------------
You emanate an aura of menace in a 30-foot radius. The first time any enemy creature enters the aura or starts its turn there during a battle, the creature must succeed on a Wisdom saving throw or become {@condition frightened} of you for 1 minute or until it takes any damage. {@action Attack} rolls against the {@condition frightened} creature have advantage.
-------------
 "
Paladin,Crown,SCAG,3,Oath of the Crown,"The Oath of the Crown is sworn to the ideals of civilization, be it the spirit of a nation, fealty to a sovereign, or service to a deity of law and rulership. The paladins who swear this oath dedicate themselves to serving society and, in particular, the laws that hold society together. These paladins are the watchful guardians on the walls, standing against the chaotic tides of barbarism that threaten to tear down all that civilization has built, and are commonly known as guardians, exemplars, or sentinels. Often, paladins who swear this oath are members of an order of knighthood in service to a nation or sovereign, and undergo their oath as part of their admission to the order's ranks.
-------------
 "
Paladin,Crown,SCAG,3,Channel Divinity: Champion Challenge,"As a bonus action, you issue a challenge that compels other creatures to do battle with you. Each creature of your choice that you can see within 30 feet of you must make a Wisdom saving throw. On a failed save, a creature can't willingly move more than 30 feet away from you. This effect ends on the creature if you are {@condition incapacitated} or die or if the creature is more than 30 feet away from you.
-------------
 "
Paladin,Crown,SCAG,3,Channel Divinity: Turn the Tide,"As a bonus action, you can bolster injured creatures with your Channel Divinity. Each creature of your choice that can hear you within 30 feet of you regains hit points equal to {@dice 1d6} + your Charisma modifier (minimum of 1) if it has no more than half of its hit points.
-------------
 "
Paladin,Crown,SCAG,3,Oath Spells,"You gain oath spells at the paladin levels listed.
-------------
 "
Paladin,Crown,SCAG,3,Oath of the Crown Spells,"[['Paladin Level', 'Spells'], ['3rd', '{@spell command}, {@spell compelled duel}'], ['5th', '{@spell warding bond}, {@spell zone of truth}'], ['9th', '{@spell aura of vitality}, {@spell spirit guardians}'], ['13th', '{@spell banishment}, {@spell guardian of faith}'], ['17th', '{@spell circle of power}, {@spell geas}']] "
Paladin,Crown,SCAG,3,Law,"The law is paramount. It is the mortar that holds the stones of civilization together, and it must be respected.
-------------
 "
Paladin,Crown,SCAG,3,Loyalty,"Your word is your bond. Without loyalty, oaths and laws are meaningless.
-------------
 "
Paladin,Crown,SCAG,3,Courage,"You must be willing to do what needs to be done for the sake of order, even in the face of overwhelming odds. If you don't act, then who will?
-------------
 "
Paladin,Crown,SCAG,3,Responsibility,"You must deal with the consequences of your actions, and you are responsible for fulfilling your duties and obligations.
-------------
 "
Paladin,Crown,SCAG,3,Tenets of the Crown,"The tenets of the Oath of the Crown are often set by the sovereign to which their oath is sworn, but generally emphasize the following tenets.
-------------
 "
Paladin,Crown,SCAG,7,Divine Allegiance,"Starting at 7th level, when a creature within 5 feet of you takes damage, you can use your reaction to magically substitute your own health for that of the target creature, causing that creature not to take the damage. Instead, you take the damage. This damage to you can't be reduced or prevented in any way.
-------------
 "
Paladin,Crown,SCAG,15,Unyielding Spirit,"Starting at 15th level, you have advantage on saving throws to avoid becoming {@condition paralyzed} or {@condition stunned}.
-------------
 "
Paladin,Crown,SCAG,20,Exalted Champion,"At 20th level, your presence on the field of battle is an inspiration to those dedicated to your cause. You can use your action to gain the following benefits for 1 hour:
-------------
This effect ends early if you are {@condition incapacitated} or die. Once you use this feature, you can't use it again until you finish a long rest.
-------------
 "
Paladin,Crown,SCAG,20,Exalted Champion,"You have resistance to bludgeoning, piercing, and slashing damage from nonmagical weapons.
-------------
Your allies have advantage on death saving throws while within 30 feet of you.
-------------
You have advantage on Wisdom saving throws, as do your allies within 30 feet of you.
-------------
 "
Paladin,Glory,TCE,3,Oath of Glory,"Paladins who take the Oath of Glory believe they and their companions are destined to achieve glory through deeds of heroism. They train diligently and encourage their companions so they're all ready when destiny calls.
-------------
 "
Paladin,Glory,TCE,3,Channel Divinity,"{@i 3rd-level Oath of Glory feature}
-------------
You gain the following two Channel Divinity options. See the Sacred Oath class feature for how Channel Divinity works.
-------------
 "
Paladin,Glory,TCE,3,Oath Spells,"{@i 3rd-level Oath of Glory feature}
-------------
You gain oath spells at the paladin levels listed in the Oath of Glory Spells table. See the Sacred Oath class feature for how oath spells work.
-------------
 "
Paladin,Glory,TCE,3,Oath of Glory Spells,"[['Paladin Level', 'Spells'], ['3rd', '{@spell guiding bolt}, {@spell heroism}'], ['5th', '{@spell enhance ability}, {@spell magic weapon}'], ['9th', '{@spell haste}, {@spell protection from energy}'], ['13th', '{@spell compulsion}, {@spell freedom of movement}'], ['17th', '{@spell commune}, {@spell flame strike}']] "
Paladin,Glory,TCE,3,Actions over Words,"Strive to be known by glorious deeds, not words.
-------------
 "
Paladin,Glory,TCE,3,Challenges Are but Tests,"Face hardships with courage, and encourage your allies to face them with you.
-------------
 "
Paladin,Glory,TCE,3,Hone the Body,"Like raw stone, your body must be worked so its potential can be realized.
-------------
 "
Paladin,Glory,TCE,3,Discipline the Soul,"You must marshal the discipline to overcome failings within yourself that threaten to dim the glory of you and your friends.
-------------
 "
Paladin,Glory,TCE,3,Tenets of Glory,"The tenets of the Oath of Glory drive a paladin to attempt heroics that might one day shine in legend.
-------------
 "
